plateID	sampleID	condition	lifestage	dilution	volume_dispensed_ml	volume_homogenate_ul	colonies	diet	picture_file	concentration	colonies_sequenced	a.soli_bands	a.johnsonii_bands	percentage_a_soli	percentage_a_johnsonii	conclusive?	sample_dilution_factor	individual_tube_dilution_factor	total_series_dilution_factor	plating_dilution_factor	final_dilution_factor	cfu_ml	a_soli_cfu	a_johnsonii_cfu	filename_gel
20.1	M_20_2_L	mono	L4	1	0.1	400	24	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.1	0.1	0.01	2400	NA	2400	MonoCulture_B
20.1_0	NA	mono	L4	3	0.1	400	232	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.001	0.1	1e-04	2320000	NA	2320000	MonoCulture_D
20.2	M_20_3_L	mono	L4	3	0.1	400	17	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.001	0.1	1e-04	170000	NA	170000	MonoCulture_B
20.3	M_20_4_L	mono	L4	2	0.1	400	120	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.01	0.1	0.001	120000	NA	120000	MonoCulture_B
20.4	M_20_5_L	mono	L4	2	0.1	400	58	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.01	0.1	0.001	58000	NA	58000	MonoCulture_B
20.7	M_20_6_L	mono	L4	2	0.1	400	62	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.01	0.1	0.001	62000	45000	NA	MonoCulture_C
20.7	NA	mono	L4	3	0.1	400	438	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.001	0.1	1e-04	4380000	NA	4380000	MonoCulture_D
20.8	NA	mono	L4	3	0.1	400	486	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.001	0.1	1e-04	4860000	NA	4860000	MonoCulture_D
20.9	NA	mono	L4	2	0.1	400	555	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.01	0.1	0.001	555000	NA	555000	MonoCulture_D
6+2_L1	C_26_1_L	co	L4	3	0.1	400	30	tetramin 10%	Y	10^7	10	10	6	60	40	Y	1	0.1	0.001	0.1	1e-04	3e+05	180000	120000	CoCulture_A
6+2_L2	C_26_2_L	co	L4	2	0.1	400	128	tetramin 10%	Y	10^7	15	9	6	60	40	Y	1	0.1	0.01	0.1	0.001	128000	76800	51200	CoCulture_A
6+2_L3	C_26_3_L	co	L4	3	0.1	400	214	tetramin 10%	Y	10^7	16	16	0	100	0	Y	1	0.1	0.001	0.1	1e-04	2140000	2140000	0	CoCulture_B
6+2_L4	C_26_4_L	co	L4	3	0.1	400	160	tetramin 10%	Y	10^7	10	8	2	80	20	Y	1	0.1	0.001	0.1	1e-04	1600000	1280000	320000	CoCulture_B
62.1	C_26_13_L	co	L4	3	0.1	400	49	tetramin 10%	Y	10^7	16	16	0	100	0	Y	1	0.1	0.001	0.1	1e-04	490000	490000	0	CoCulture_H
62.11	C_26_11_L	co	L4	3	0.1	400	124	tetramin 10%	Y	10^7	15	14	1	93.33333333	6.666666667	N	1	0.1	0.001	0.1	1e-04	1240000	1157333.333	82666.66667	CoCulture_I
62.12	C_26_10_L	co	L4	2	0.1	400	83	tetramin 10%	Y	10^7	16	15	1	93.75	6.25	Y	1	0.1	0.01	0.1	0.001	83000	77812.5	5187.5	CoCulture_ J
62.13	C_26_8_L	co	L4	3	0.1	400	24	tetramin 10%	Y	10^7	15	15	0	100	0	Y	1	0.1	0.001	0.1	1e-04	240000	NA	NA	CoCulture_H
62.14	C_26_7_P	co	L4	3	0.1	400	220	tetramin 10%	Y	10^7	16	15	1	93.75	6.25	Y	1	0.1	0.001	0.1	1e-04	2200000	2062500	137500	CoCulture_G
62.14	C_26_9_L	co	L4	3	0.1	400	90	tetramin 10%	Y	10^7	16	12	4	75	25	Y	1	0.1	0.001	0.1	1e-04	9e+05	675000	225000	CoCulture_I
62.17	C_26_6_L	co	L4	3	0.1	400	38	tetramin 10%	Y	10^7	15	15	0	100	0	Y	1	0.1	0.001	0.1	1e-04	380000	380000	0	CoCulture_D
62.8	C_26_14_L	co	L4	3	0.1	400	31	tetramin 10%	Y	10^7	16	9	7	56.25	43.75	Y	1	0.1	0.001	0.1	1e-04	310000	174375	135625	CoCulture_K
62.9	C_26_5_L	co	L4	3	0.1	400	32	tetramin 10%	Y	10^7	15	15	0	100	0	Y	1	0.1	0.001	0.1	1e-04	320000	320000	0	CoCulture_D
68.1	M_68_2_L	mono	L4	2	0.1	400	166	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.01	0.1	0.001	166000	166000	NA	MonoCulture_B
68.11	NA	mono	L4	3	0.1	400	815	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.001	0.1	1e-04	8150000	8150000	NA	MonoCulture_D
68.12	NA	mono	L4	3	0.1	400	245	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.001	0.1	1e-04	2450000	2450000	NA	MonoCulture_C
68.14	NA	mono	L4	3	0.1	400	160	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.001	0.1	1e-04	1600000	1600000	NA	MonoCulture_C
68.15	NA	mono	L4	3	0.1	400	184	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.001	0.1	1e-04	1840000	1840000	NA	MonoCulture_C
68.2	M_68_3_L	mono	L4	2	0.1	400	16	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.01	0.1	0.001	16000	1600	NA	MonoCulture_B
68.3	M_68_4_L	mono	L4	3	0.1	400	14	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.001	0.1	1e-04	140000	140000	NA	MonoCulture_B
68.4	M_68_5_L	mono	L4	2	0.1	400	12	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.01	0.1	0.001	12000	12000	NA	MonoCulture_B
68.5	M_68_6_L	mono	L4	2	0.1	400	45	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.01	0.1	0.001	45000	3e+05	NA	MonoCulture_C
NA	NA	co	L4	3	0.1	400	12	tetramin 10%	NA	10^7	4	NA	NA	35.29411765	64.70588235	Y	1	0.1	0.001	0.1	1e-04	120000	42352.94118	77647.05882	Acinetobacter_gnoto_140424
20.11	NA	mono	adult	1	0.1	400	70	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.1	0.1	0.01	7000	NA	7000	MonoCulture_G
20.12	NA	mono	adult	1	0.1	400	235	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.1	0.1	0.01	23500	NA	23500	MonoCulture_G
20.1_0	NA	mono	adult	1	0.1	400	0	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.1	0.1	0.01	0	NA	0	NA
20.2	NA	mono	adult	1	0.1	400	79	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.1	0.1	0.01	7900	NA	79	MonoCulture_F
20.3	NA	mono	adult	1	0.1	400	272	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.1	0.1	0.01	27200	NA	27200	MonoCulture_G
20.4	NA	mono	adult	2	0.1	400	12	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.01	0.1	0.001	12000	NA	12000	MonoCulture_G
20.5	NA	mono	adult	1	0.1	400	0	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.1	0.1	0.01	0	NA	0	MonoCulture_G
20.6	NA	mono	adult	1	0.1	400	0	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.1	0.1	0.01	0	NA	0	MonoCulture_F
20.7	NA	mono	adult	1	0.1	400	3	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.1	0.1	0.01	300	NA	300	MonoCulture_G
20.8	NA	mono	adult	1	0.1	400	216	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.1	0.1	0.01	21600	NA	21600	MonoCulture_G
20.9	NA	mono	adult	1	0.1	400	0	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.1	0.1	0.01	0	NA	0	MonoCulture_G
26.1	C_26_10_A	co	adult	NA	0.1	400	NA	tetramin 10%	Y	10^7	NA	NA	NA	NA	NA	N	1	0.1	1	0.1	0.1	0	NA	NA	CoCulture_O
26.11	C_26_11_A	co	adult	1	0.1	400	73	tetramin 10%	Y	10^7	15	12	3	80	20	Y	1	0.1	0.1	0.1	0.01	7300	5840	1460	CoCulture_ N
26.13	C_13_A	co	adult	2	0.1	400	78	tetramin 10%	Y	10^7	16	15	1	93.75	6.25	Y	1	0.1	0.01	0.1	0.001	78000	73125	4875	CoCulture_R
26.14	C_26_14_A	co	adult	1	0.1	400	22	tetramin 10%	Y	10^7	16	15	1	93.75	6.25	Y	1	0.1	0.1	0.1	0.01	2200	2062.5	137.5	CoCulture_P
26.15	C_26_15_A	co	adult	1	0.1	400	39	tetramin 10%	Y	10^7	15	15	0	100	0	Y	1	0.1	0.1	0.1	0.01	3900	3900	0	CoCulture _M
26.16	C_16_A	co	adult	1	0.1	400	121	tetramin 10%	Y	10^7	16	16	0	100	0	Y	1	0.1	0.1	0.1	0.01	12100	12100	0	CoCulture_Q
26.18	C_26_18_A	co	adult	NA	0.1	400	NA	tetramin 10%	Y	10^7	NA	NA	NA	NA	NA	N	1	0.1	1	0.1	0.1	0	NA	NA	CoCulture_O
26.19	C_26_19_A	co	adult	2	0.1	400	63	tetramin 10%	Y	10^7	16	16	0	100	0	Y	1	0.1	0.01	0.1	0.001	63000	63000	0	CoCulture _M
26.21	C_21_A	co	adult	2	0.1	400	33	tetramin 10%	Y	10^7	16	16	0	100	0	Y	1	0.1	0.01	0.1	0.001	33000	33000	0	CoCulture_Q
26.7	C_26_7_A	co	adult	3	0.1	400	35	tetramin 10%	Y	10^7	16	16	0	100	0	Y	1	0.1	0.001	0.1	1e-04	350000	350000	0	CoCulture_P
26.8	C_26_8_A	co	adult	1	0.1	400	156	tetramin 10%	Y	10^7	16	16	0	100	0	Y	1	0.1	0.1	0.1	0.01	15600	15600	0	CoCulture_ N
68.1	NA	mono	adult	2	0.1	400	49	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.01	0.1	0.001	49000	49000	NA	MonoCulture_E
68.1	NA	mono	adult	2	0.1	400	47	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.01	0.1	0.001	47000	47000	NA	MonoCulture_H
68.11	NA	mono	adult	2	0.1	400	47	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.01	0.1	0.001	47000	47000	NA	MonoCulture_E
68.12	NA	mono	adult	2	0.1	400	59	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.01	0.1	0.001	59000	59000	NA	MonoCulture_H
68.13	NA	mono	adult	2	0.1	400	41	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.01	0.1	0.001	41000	41000	NA	MonoCulture_H
68.17	NA	mono	adult	1	0.1	400	0	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.1	0.1	0.01	0	0	NA	NA
68.3	NA	mono	adult	2	0.1	400	110	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.01	0.1	0.001	110000	110000	NA	MonoCulture_H
68.4	NA	mono	adult	3	0.1	400	402	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.001	0.1	1e-04	4020000	4020000	NA	MonoCulture_H
68.5	NA	mono	adult	1	0.1	400	0	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.1	0.1	0.01	0	0	NA	NA
68.6	NA	mono	adult	1	0.1	400	0	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.1	0.1	0.01	0	0	NA	NA
68.8	NA	mono	adult	1	0.1	400	0	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.1	0.1	0.01	0	0	NA	NA
68.9	NA	mono	adult	2	0.1	400	45	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.01	0.1	0.001	45000	45000	NA	MonoCulture_E
20.1	NA	mono	pupae	2	0.1	400	273	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.01	0.1	0.001	273000	NA	273000	MonoCulture_E
20.11	NA	mono	pupae	3	0.1	400	62	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.001	0.1	1e-04	620000	NA	620000	MonoCulture_F
20.1_0	NA	mono	pupae	2	0.1	400	322	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.01	0.1	0.001	322000	NA	322000	MonoCulture_F
20.2	NA	mono	pupae	2	0.1	400	254	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.01	0.1	0.001	254000	NA	254000	MonoCulture_E
20.3	NA	mono	pupae	3	0.1	400	30	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.001	0.1	1e-04	3e+05	NA	3e+05	MonoCulture_E
20.4	NA	mono	pupae	3	0.1	400	39	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.001	0.1	1e-04	390000	NA	390000	MonoCulture_E
20.5	NA	mono	pupae	3	0.1	400	16	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.001	0.1	1e-04	160000	NA	160000	MonoCulture_F
20.7	NA	mono	pupae	2	0.1	400	307	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.01	0.1	0.001	307000	NA	307000	MonoCulture_F
20.8	NA	mono	pupae	2	0.1	400	149	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.01	0.1	0.001	149000	NA	149000	MonoCulture_F
20.9	NA	mono	pupae	3	0.1	400	49	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.001	0.1	1e-04	490000	NA	490000	MonoCulture_F
6+2_P1	C_26_1_P	co	pupae	3	0.1	400	25	tetramin 10%	Y	10^7	15	15	0	100	0	Y	1	0.1	0.001	0.1	1e-04	250000	250000	0	CoCulture_C
6+2_P2	C_26_2_P	co	pupae	3	0.1	400	102	tetramin 10%	Y	10^7	15	15	0	100	0	Y	1	0.1	0.001	0.1	1e-04	1020000	1020000	0	CoCulture_C
62.1	C_26_9_P	co	pupae	3	0.1	400	234	tetramin 10%	Y	10^7	16	15	1	93.75	6.25	Y	1	0.1	0.001	0.1	1e-04	2340000	2193750	146250	CoCulture _J
62.11	C_26_12_P	co	pupae	3	0.1	400	196	tetramin 10%	Y	10^7	16	16	0	100	0	Y	1	0.1	0.001	0.1	1e-04	1960000	1960000	0	CoCulture_L
62.12	C_26_6_P	co	pupae	3	0.1	400	42	tetramin 10%	Y	10^7	15	15	0	100	0	Y	1	0.1	0.001	0.1	1e-04	420000	420000	0	CoCulture_F
62.12	C_26_14_P	co	pupae	3	0.1	400	83	tetramin 10%	Y	10^7	16	16	0	100	0	Y	1	0.1	0.001	0.1	1e-04	830000	830000	0	CoCulture_L
62.13	C_26_3_P	co	pupae	1	0.1	400	154	tetramin 10%	Y	10^7	14	7	7	50	50	Y	1	0.1	0.1	0.1	0.01	15400	7700	7700	CoCulture_E
62.14	C26_5_P	co	pupae	3	0.1	400	190	tetramin 10%	Y	10^7	15	15	0	100	0	Y	1	0.1	0.001	0.1	1e-04	1900000	1900000	0	CoCulture_F
62.7	C_26_4_P	co	pupae	3	0.1	400	277	tetramin 10%	Y	10^7	16	15	1	93.75	6.25	Y	1	0.1	0.001	0.1	1e-04	2770000	2596875	173125	CoCulture_E
62.8	C_26_8_P	co	pupae	3	0.1	400	135	tetramin 10%	Y	10^7	16	16	0	100	0	Y	1	0.1	0.001	0.1	1e-04	1350000	NA	NA	CoCulture_G
62.9	C_26_13_P	co	pupae	3	0.1	400	45	tetramin 10%	Y	10^7	16	15	1	100	6.25	Y	1	0.1	0.001	0.1	1e-04	450000	450000	28125	CoCulture_K
68.1	M_68_1_P	mono	pupae	3	0.1	400	77	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.001	0.1	1e-04	770000	770000	NA	MonoCulture_A
68.11	NA	mono	pupae	2	0.1	400	46	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.01	0.1	0.001	46000	46000	NA	MonoCulture_D
68.12	NA	mono	pupae	1	0.1	400	0	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.1	0.1	0.01	0	0	NA	NA
68.13	NA	mono	pupae	1	0.1	400	0	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.1	0.1	0.01	0	0	NA	NA
68.14	NA	mono	pupae	3	0.1	400	6	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.001	0.1	1e-04	60000	60000	NA	MonoCulture_D
68.15	NA	mono	pupae	3	0.1	400	41	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.001	0.1	1e-04	410000	410000	NA	MonoCulture_E
68.2	M_68_2_P	mono	pupae	2	0.1	400	204	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.01	0.1	0.001	204000	204000	NA	MonoCulture_A
68.7	NA	mono	pupae	1	0.1	400	0	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.1	0.1	0.01	0	0	NA	NA
68.8	NA	mono	pupae	1	0.1	400	0	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.1	0.1	0.01	0	0	NA	NA
68.9	NA	mono	pupae	2	0.1	400	97	tetramin 10%	Y	10^7	4	NA	NA	NA	NA	NA	1	0.1	0.01	0.1	0.001	97000	97000	NA	MonoCulture_D
