ReactionID,no_colonies,polymerase_ul,primer1_ul,primer2_ul,water_ul,total_vol_ul,samples,,
,21,210,21,21,168,420,,,
,40,400,40,40,240,720,,,
,34,340,34,34,272,680,,,
230424_A,64,640,64,64,384,1152,"C_26_1_L, C_26_2_L, C_26_3_L, C_26_4_L",,
230424_B,64,640,64,64,384,1152,"C_26_1_P, C_26_2_P, C_26_3_P, C_26_4_P",,
,,,,,,,,,
230424_C,70,700,70,70,420,1260,"62.10, 62.13, 62.9, 62.14",,
C_26_3&4_P_B,35,350,35,35,210,630,"62.13_P, 62.7_P",,
020524_L_mono,70,700,70,70,420,1260,"20.1_P, 20.2_P, 20.3_P, 20.4_68.9_P, 68.11_P, 68.12_P, 68.13_P, ",,
020524_M_mono,70,700,70,70,420,1260,"20.5_P, 20.6_P, 20.7_P, 20.8_P, 20.9_P, 20.10, P, 20.11_P , 68.15_P ",,
,,,,,,,,,
MonoCulture_A,35,350,35,35,210,630,"68.1_P, 68.2_P",,
MonoCulture_B,35,350,35,35,210,630,"68.1_L4, 20.1_L4, 68.2_L4, 20.2_L4, 68.3_L4, 20.3_L4, 68.4_L4, 20.4_l4",,
MonoCulture_C,26,260,26,26,156,468,"68.5_L4, 20.7_L4, 68.15_L4, 68.14_L4, 68.12_L4",,
MonoCulture_D,35,350,35,35,210,630,"68.11_L4, 20.9_L4, 68.9_P, 20.10_L4, 68.11_P, 20.8_L4, 68.14_P, 20.7_L4",,
MonoCulture_E,35,350,35,35,210,630,"20.1_P, 20.2_P, 68.15_P, 68.9_A, 20.3_P, 20.4_P, 68.1_A, 68.11_A",,
MonoCulture_F,35,350,35,35,210,630,"20.5_P, 20.7_P, 20.8_P, 20.9_P, 68.3_A, 68.1_A, 68.4_A, 68.12_A",,
MonoCulture_G,35,350,35,35,210,630,"20.10_P, 20.11_P, 20.2_A, 20.6_A, 20.9_A, 20.5_A, 20.4_A, 68.13_A",,
MonoCulture_H,35,350,35,35,210,630,,,
,,,,,,,,,
,,,,,,,,,
CoCulture_A,35,350,35,35,210,630,"6+2_L1, 6+2_L2",,
CoCulture_B,35,350,35,35,210,630,"6+2_L3, 6+2_L4",,
CoCulture_C,35,350,35,35,210,630,"6+2_P1, 6+2_P2",,
CoCulture_D,35,350,35,35,210,630,"62.9_L4, 62.17_L4",,
CoCulture_E,35,350,35,35,210,630,"62.13_P, 62.7_P",,
CoCulture_F,35,350,35,35,210,630,"62.14_P, 62.12_P",,
CoCulture_G,35,350,35,35,210,630,"62.14_L, 62.8_P",,
CoCulture_H,35,350,35,35,210,630,"62.13_L4, 62.1_L4",,
CoCulture_I,35,350,35,35,210,630,"62.11_L4, 62.14_L4",,
CoCulture_J,35,350,35,35,210,630,"62.1_P, 62.12_L4",,
CoCulture_K,35,350,35,35,210,630,"62.8_L4, 62.9_P",,
CoCulture_L,35,350,35,35,210,630,"62.12_P, 62.11_P",,
,,,,,,,,,
,70,700,70,70,420,1260,,,
,50,500,50,50,300,900,,,64